idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
419,3ed5c545c3.png,1,1,100.0,exact,136,136,"\intdX_{w}\int_{E(p)=X_{w}}{\calD}E\int{\calD}A\operatorname{exp}\left(i\int_{w}\left[\mathrm{Tr}(F\,E)+\mathrm{Tr}(J\,E)\right]\right).","\intdX_{w}\int_{E(p)=X_{w}}{\calD}E\int{\calD}A\operatorname{exp}\left(i\int_{w}\left[\mathrm{Tr}(F\,E)+\mathrm{Tr}(J\,E)\right]\right).",\intdX_{w}\int_{E(p)=X_{w}{\calD}E\int{\calD}A\operatorname{exp}(i\int_{w}[\mathrm{Tr}(FE)+\mathrm{Tr}(JE)]).,\intdX_{w}\int_{E(p)=X_{w}{\calD}E\int{\calD}A\operatorname{exp}(i\int_{w}[\mathrm{Tr}(FE)+\mathrm{Tr}(JE)]).
420,3a6857a1fb.png,0,1,96.923,canonical_equivalent,63,65,"\rho_{A}(a,a^{\prime})=\sum_{b}\psi(a,b)\psi^{*}(a^{\prime},b).","\rho_{A}(a,a^{\prime})=\sum_{b}\psi(a,b)\psi^{*}(a^{\prime},b)\;.","\rho_{A}(a,a^{\prime)=\sum_{b}\psi(a,b)\psi^{*}(a^{\prime,b).","\rho_{A}(a,a^{\prime)=\sum_{b}\psi(a,b)\psi^{*}(a^{\prime,b)."
421,2e2ceaadff.png,1,1,100.0,exact,72,72,"{\calC}_{j}|\Phi_{w}\rangle=w_{j}|\Phi_{w}\rangle,\quadj=0,1,\ldots,n-1.","{\calC}_{j}|\Phi_{w}\rangle=w_{j}|\Phi_{w}\rangle,\quadj=0,1,\ldots,n-1.","\calC_{j}|\Phi_{w}\rangle=w_{j}|\Phi_{w}\rangle,j=0,1,\ldots,n-1.","\calC_{j}|\Phi_{w}\rangle=w_{j}|\Phi_{w}\rangle,j=0,1,\ldots,n-1."
422,1a681d5d77.png,0,0,88.136,semantic_or_token_error,171,177,"\tilde{\omega}=4\pi\sum_{\rho,\rho^{\prime},i=1}^{g}(w_{i\rho}{\bar{w}}_{i+g\rho^{\prime}}-{\bar{w}}_{i\rho^{\prime}}w_{i+g\rho})dc_{\rho}\wedged{\bar{c}}_{\rho^{\prime}}.","\tilde{\omega}=4\pi\sum_{\rho,\rho^{\prime},i=1}^{g}\left(w_{i\rho}\bar{w}_{i+g\rho^{\prime}}-\bar{w}_{i\beta^{\prime}}w_{i+g\rho}\right)dc_{\rho}\wedged\bar{c}_{\rho^{\prime}}.","\tilde{\omega=4\pi\sum_{\rho,\rho^{\prime,i=1^{g}(w_{i\rho}\barw_{i+g\rho^{\prime-\barw_{i\rho^{\prime}w_{i+g\rho)dc_{\rho}\wedged\barc_{\rho^{\prime}.","\tilde{\omega=4\pi\sum_{\rho,\rho^{\prime,i=1^{g}(w_{i\rho}\barw_{i+g\rho^{\prime-\barw_{i\beta^{\prime}w_{i+g\rho)dc_{\rho}\wedged\barc_{\rho^{\prime}."
423,6e334d8f89.png,0,0,89.552,semantic_or_token_error,65,67,"t_{i}t_{j}+t_{j}t_{i}=P_{ij}(x_{1},x_{2}),~~~~i,j=1,2,3~(i\neqj).","t_{i}t_{j}+t_{j}t_{i}=P_{ij}(x_{1},x_{2}),\quadi,j=1,2,3\;(i\neqj).","t_{i}t_{j+t_{j}t_{i=P_{ij}(x_{1,x_{2),~~~~i,j=1,2,3~(i\neqqj).","t_{i}t_{j+t_{j}t_{i=P_{ij}(x_{1,x_{2),i,j=1,2,3(i\neqqj)."
424,2bc73f49ac.png,0,0,98.425,almost_correct,127,125,"{\calK}[A;U_{2},U_{1}]=\sum_{R}\chi_{R}(U_{1})\chi_{R}^{\dagger}(U_{2})\operatorname{exp}\Bigl[-\frac{g^{2}A}{4}C_{2}(R)\Bigr],","{\calK}[A;U_{2},U_{1}]=\sum_{R}\chi_{R}(U_{1})\chi_{R}^{\dagger}(U_{2})\operatorname{exp}\Big[-\frac{g^{2}A}{4}C_{2}(R)\Big],","{\calK}[A;U_{2,U_{1]=\sum_{R}\chi_{R}(U_{1)\chi_R^{\dagger}(U_{2)\operatorname{exp}\Bigl[-\frac{g^{2}A}{4}C_{2}(R)\Bigr],","{\calK}[A;U_{2,U_{1]=\sum_{R}\chi_{R}(U_{1)\chi_R^{\dagger}(U_{2)\operatorname{exp}\Big[-\frac{g^{2}A}{4}C_{2}(R)\Big],"
425,e80c879695.png,1,1,100.0,exact,73,73,(\frac{\ddot{a}}{a})=-\frac{8\piG}{3}[\frac{1}{2}\rho_{M}+2p_{\Phi}+V(R)],(\frac{\ddot{a}}{a})=-\frac{8\piG}{3}[\frac{1}{2}\rho_{M}+2p_{\Phi}+V(R)],(\frac\ddot{a}{a)=-\frac{8\piG}{3}[\frac{1}{2}\rho_{M+2p_{\Phi+V(R)],(\frac\ddot{a}{a)=-\frac{8\piG}{3}[\frac{1}{2}\rho_{M+2p_{\Phi+V(R)]
426,6d9f2e885f.png,1,1,100.0,exact,27,27,"f_{C}=m_{4}z+m_{2}x+m_{1}y,","f_{C}=m_{4}z+m_{2}x+m_{1}y,","f_{C=m_{4}z+m_{2}x+m_{1}y,","f_{C=m_{4}z+m_{2}x+m_{1}y,"
427,19ff5fe86d.png,1,1,100.0,exact,86,86,"\operatorname*{det}\frac{\partial^{2}L_{\mathrm{Q}}}{\partialV_{a}\partialV_{b}}\neq0,","\operatorname*{det}\frac{\partial^{2}L_{\mathrm{Q}}}{\partialV_{a}\partialV_{b}}\neq0,","\operatorname*{det}\frac{\partial^{2}L_\mathrm{Q}{\partialV_{a}\partialV_{b}\neqq0,","\operatorname*{det}\frac{\partial^{2}L_\mathrm{Q}{\partialV_{a}\partialV_{b}\neqq0,"
428,2fcf6034c6.png,0,0,80.702,semantic_or_token_error,57,47,"(\psi,\phi)_{\calC}\equiv\frac{1-i\verti}{2}\,<\psi,\phi>","(\psi,\phi)_{c}\equiv\frac{1-i|i}{2}<\psi,\phi>","(\psi,\phi)_{\calC}\equiv\frac{1-i\verti}{2}<\psi,\phi>","(\psi,\phi)_{c}\equiv\frac{1-i|i}{2}<\psi,\phi>"
429,593c394db3.png,0,0,94.34,semantic_or_token_error,106,104,"\left(v_{I}^{i}-v_{J}^{i}\right){\frac{\partial}{\partialr_{I}^{i}}}\Theta_{IJ}={\frac{d}{dt}}\Theta_{IJ},","\left(v_{I}^{i}-v_{J}^{i}\right)\frac{\partial}{\partialr_{I}^{i}}\Theta_{IJ}=\frac{d}{dt}\Theta_{IJ}~~,","(v_I^{i-v_J^{i)\frac{\partial}{\partialr_I^{i}\Theta_{IJ=\frac{d}{dt}\Theta_{IJ,","(v_I^{i-v_J^{i)\frac{\partial}{\partialr_I^{i}\Theta_{IJ=\frac{d}{dt}\Theta_{IJ}~~,"
430,94ad419d55.png,0,0,95.21,almost_correct,163,167,"\hat{a}{\calP}=\frac{1}{q^{2}}{\calP}\hat{a}-\frac{\mu}{q^{3}}\hat{a}~~,~~\hat{b}{\calP}=\frac{1}{q^{2}}{\calP}\hat{b}-\frac{\mu}{q^{3}}\hat{d}\hat{c}^{-1}\hat{a},","\hat{a}{\calP}=\frac{1}{q^{2}}{\calP}\hat{a}-\frac{\mu}{q^{3}}\hat{a}\;\;,\;\;\hat{b}{\calP}=\frac{1}{q^{2}}{\calP}\hat{b}-\frac{\mu}{q^{3}}\hat{d}\hat{c}^{-1}\hat{a},","\hat{a}{\calP=\frac{1}{q^{2}{\calP}\hat{a-\frac{\mu}{q^{3}\hat{a}~~,~~\hat{b}{\calP=\frac{1}{q^{2}{\calP}\hat{b-\frac{\mu}{q^{3}\hat{d}\hatc^{-1}\hat{a,","\hat{a}{\calP=\frac{1}{q^{2}{\calP}\hat{a-\frac{\mu}{q^{3}\hat{a,\hat{b}{\calP=\frac{1}{q^{2}{\calP}\hat{b-\frac{\mu}{q^{3}\hat{d}\hatc^{-1}\hat{a,"
431,1c02bed55c.png,1,1,100.0,exact,56,56,m_{0}\equiv\sigma_{\mathrm{min}}=-\frac{\pi}{\lambda}\;.,m_{0}\equiv\sigma_{\mathrm{min}}=-\frac{\pi}{\lambda}\;.,m_{0}\equiv\sigma_\mathrm{min=-\frac{\pi}{\lambda}.,m_{0}\equiv\sigma_\mathrm{min=-\frac{\pi}{\lambda}.
432,76770d3acd.png,0,0,91.045,semantic_or_token_error,132,134,"\xi_{0}=\frac{\tau_{\pm}^{2}}{{2}|\mu|},~~~\xi_{1}=\frac{\tau_{\pm}}{\sqrt{2}|\mu|},~~~\xi_{2}=\frac{\pmi\tau_{\pm}}{\sqrt{2}|\mu|}.","\xi_{0}=\frac{\tau_{\pm}^{2}}{2|\mu|},\quad\xi_{1}=\frac{\tau_{\pm}}{\sqrt{2}|\mu|},\quad\xi_{2}=\frac{\pmi\tau_{\pm}}{\sqrt{2}|\mu|}.","\xi_{0=\frac{\tau_\pm^{2}{{2}|\mu|,~~~\xi_{1=\frac{\tau_{\pm}\sqrt{2}|\mu|,~~~\xi_{2=\frac{\pmi\tau_{\pm}\sqrt{2}|\mu|}.","\xi_{0=\frac{\tau_\pm^{2}{2|\mu|,\xi_{1=\frac{\tau_{\pm}\sqrt{2}|\mu|,\xi_{2=\frac{\pmi\tau_{\pm}\sqrt{2}|\mu|}."
433,64f78ba1f5.png,1,1,100.0,exact,49,49,"H=\intdx\,(|\psi^{\prime}|^{2}+\kappa|\psi|^{4}).","H=\intdx\,(|\psi^{\prime}|^{2}+\kappa|\psi|^{4}).",H=\intdx(|\psi^{\prime}|^{2+\kappa|\psi|^{4).,H=\intdx(|\psi^{\prime}|^{2+\kappa|\psi|^{4).
434,413aad1a43.png,0,0,98.413,almost_correct,63,62,"J_{G}[u]\int{\calD}a(t)~\delta\left(a^{\prime}-u(a,t)\right)=1,","J_{G}[u]\int{\calD}a(t)\delta\left(a^{\prime}-u(a,t)\right)=1,","J_{G}[u]\int{\calD}a(t)~\delta(a^{\prime-u(a,t))=1,","J_{G}[u]\int{\calD}a(t)\delta(a^{\prime-u(a,t))=1,"
435,6cc05aa255.png,0,0,92.105,semantic_or_token_error,70,76,{\calR}_{abcd}=\frac12(G_{ad}G_{bc}-G_{ac}G_{bd}){\calR}+G_{ac}{\calR},{\calR}_{abcd}={\frac{1}{2}}(G_{ad}G_{bc}-G_{ac}G_{bd}){\calR}+G_{ac}{\calR},\calR_{abcd=\frac12(G_{ad}G_{bc-G_{ac}G_{bd){\calR+G_{ac}{\calR},\calR_{abcd=\frac{1}{2}(G_{ad}G_{bc-G_{ac}G_{bd){\calR+G_{ac}{\calR}
436,1885e9f277.png,0,0,94.681,semantic_or_token_error,94,92,"p_{i}^{\alpha}=p_{j}^{\beta}\frac{\dx_{\beta}^{j}}{\dx_{\alpha}^{i}}+\phi_{i}^{\alpha\beta}\,.","p_{i}^{\alpha}=p_{j}^{\beta}\frac{5_{\beta}^{j}}{\xi_{\alpha}^{i}}+\phi_{i}^{\alpha\beta}\,.",p_i^{\alpha=p_j^{\beta}\frac{\dx_\beta^{j}{\dx_\alpha^{i+\phi_i^{\alpha\beta}.,p_i^{\alpha=p_j^{\beta}\frac{5_\beta^{j}{\xi_\alpha^{i+\phi_i^{\alpha\beta}.
437,ea400c04f5.png,1,1,100.0,exact,113,113,"\beta_{\hat{\lambda}}=-\hat{\lambda}+\frac{1}{8\pi^{2}}\hat{\lambda}\nu-\frac{25}{12\pi^{2}}\,e^{4}\hat{\lambda},","\beta_{\hat{\lambda}}=-\hat{\lambda}+\frac{1}{8\pi^{2}}\hat{\lambda}\nu-\frac{25}{12\pi^{2}}\,e^{4}\hat{\lambda},","\beta_\hat{\lambda=-\hat{\lambda+\frac{1}{8\pi^{2}\hat{\lambda}\nu-\frac{25}{12\pi^{2}e^{4}\hat{\lambda,","\beta_\hat{\lambda=-\hat{\lambda+\frac{1}{8\pi^{2}\hat{\lambda}\nu-\frac{25}{12\pi^{2}e^{4}\hat{\lambda,"
438,2e5d47e12b.png,1,1,100.0,exact,89,89,-\nu^{2}(\nu^{2}-(mr)^{2})[(i\nu)^{j-n}e^{i\pi(1-j/2-s)}-(-i\nu)^{j-n}e^{-i\pi(1-j/2-s)}],-\nu^{2}(\nu^{2}-(mr)^{2})[(i\nu)^{j-n}e^{i\pi(1-j/2-s)}-(-i\nu)^{j-n}e^{-i\pi(1-j/2-s)}],-\nu^{2}(\nu^{2-(mr)^{2)[(i\nu)^{j-n}e^{i\pi(1-j/2-s)-(-i\nu)^{j-n}e^{-i\pi(1-j/2-s)],-\nu^{2}(\nu^{2-(mr)^{2)[(i\nu)^{j-n}e^{i\pi(1-j/2-s)-(-i\nu)^{j-n}e^{-i\pi(1-j/2-s)]
439,275acd7e39.png,0,0,15.842,too_long,122,303,S_{eff}=\intd^{2}x\sqrt{g}[{\bar{\psi}}(i{D\!\!\!/}-{A\!\!/}-{j\!\!/})\psi+L_{g}]+\frac{i}{2\pi}\int_{\Sigma}(dB{\wedge}A),S_{eff}=\intd^{2}x\sqrt{g}(iD\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!\!,S_{eff=\intd^{2}x\sqrt{g}[\bar{\psi}(i{D/-{A/-{j/)\psi+L_{g]+\frac{i}{2\pi}\int_{\Sigma}(dB{\wedge}A),S_{eff=\intd^{2}x\sqrt{g}(iD
440,3ba5fa8798.png,0,1,98.438,canonical_equivalent,128,126,T_{\pm\pm}={\frac{1}{12}}\left(\partial_{\pm}^{2}\rho-\partial_{\pm}\rho\partial_{\pm}\rho+t_{\pm}\left(x^{\pm}\right)\right)\;.,T_{\pm\pm}={\frac{1}{12}}\left(\partial_{\pm}^{2}\rho-\partial_{\pm}\rho\partial_{\pm}\rho+t_{\pm}\left(x^{\pm}\right)\right).,T_{\pm\pm=\frac{1}{12}(\partial_\pm^{2}\rho-\partial_{\pm}\rho\partial_{\pm}\rho+t_{\pm}(x^{\pm)).,T_{\pm\pm=\frac{1}{12}(\partial_\pm^{2}\rho-\partial_{\pm}\rho\partial_{\pm}\rho+t_{\pm}(x^{\pm)).
441,7ac48f16e5.png,0,1,88.889,canonical_equivalent,54,48,A_{0}={\frac{-{\frac{F^{2}}{4}}}{1-{\frac{F^{2}}{4}}}},A_{0}=\frac{-\frac{F^{2}}{4}}{1-\frac{F^{2}}{4}},A_{0=\frac{-\frac{F^{2}{4}{1-\frac{F^{2}{4},A_{0=\frac{-\frac{F^{2}{4}{1-\frac{F^{2}{4}
442,7d81829ab5.png,1,1,100.0,exact,143,143,"\frac{1}{i}{\calG}(x,x;\chi)=\frac{1}{(2\pi)^{2}}\int\frac{d^{2}k_{E}}{(k_{E}^{2}+\chi)}\equiv\frac{1}{(2\pi)}\int\frac{dk}{2\sqrt{k^{2}+\chi}}","\frac{1}{i}{\calG}(x,x;\chi)=\frac{1}{(2\pi)^{2}}\int\frac{d^{2}k_{E}}{(k_{E}^{2}+\chi)}\equiv\frac{1}{(2\pi)}\int\frac{dk}{2\sqrt{k^{2}+\chi}}","\frac{1}{i}{\calG}(x,x;\chi)=\frac{1}{(2\pi)^{2}\int\frac{d^{2}k_{E}{(k_E^{2+\chi)}\equiv\frac{1}{(2\pi)}\int\frac{dk}{2\sqrt{k^{2+\chi}","\frac{1}{i}{\calG}(x,x;\chi)=\frac{1}{(2\pi)^{2}\int\frac{d^{2}k_{E}{(k_E^{2+\chi)}\equiv\frac{1}{(2\pi)}\int\frac{dk}{2\sqrt{k^{2+\chi}"
443,7e16b8d8e2.png,0,0,92.045,semantic_or_token_error,176,163,"W[{\Phi}]=\frac{1}{2}\int_{-\infty}^{\infty}dx^{+}\int_{0}^{L}dx_{1}^{-}\int_{0}^{L}dx_{2}^{-}{\Phi}^{\star,++}(x_{1}^{-},x^{+}|x_{2}^{-},x^{+})({\pi}_{(1)}^{-}+{\pi}_{(2)}^{-}","W[\Phi]=\frac{1}{2}\int_{-\infty}^{\infty}dx^{+}\int_{0}^{L}dx_{1}^{-}\int_{0}^{L}dx_{2}^{-}\Phi^{*++}(x_{1}^{-},x^{+}|x_{2}^{-},x^{+})(\pi_{(1)}^{-}+\pi_{(2)}^{-}","W[{\Phi]=\frac{1}{2}\int_{-\infty^{\infty}dx^{+}\int_0^{L}dx_1^{-}\int_0^{L}dx_2^{-}\Phi^{\star,++}(x_1^{-,x^{+}|x_2^{-,x^{+)(\pi_{(1)^{-+\pi_{(2)^{-}","W[\Phi]=\frac{1}{2}\int_{-\infty^{\infty}dx^{+}\int_0^{L}dx_1^{-}\int_0^{L}dx_2^{-}\Phi^{*++}(x_1^{-,x^{+}|x_2^{-,x^{+)(\pi_{(1)^{-+\pi_{(2)^{-}"
444,18f39d5faa.png,1,1,100.0,exact,65,65,\langlex_{0}|=\langle\bar{x}+\sum_{e>0}x_{e}w_{e}|=\langle\bar{x},\langlex_{0}|=\langle\bar{x}+\sum_{e>0}x_{e}w_{e}|=\langle\bar{x},\langlex_{0}|=\langle\bar{x+\sum_{e>0}x_{e}w_{e}|=\langle\bar{x},\langlex_{0}|=\langle\bar{x+\sum_{e>0}x_{e}w_{e}|=\langle\bar{x}
445,36243d996c.png,1,1,100.0,exact,71,71,T_{2}^{a}=\partial_{i}\pi^{ia}-gf^{abc}\pi^{ib}A_{i}^{c}+m^{2}A_{0}^{a},T_{2}^{a}=\partial_{i}\pi^{ia}-gf^{abc}\pi^{ib}A_{i}^{c}+m^{2}A_{0}^{a},T_2^{a=\partial_{i}\pi^{ia-gf^{abc}\pi^{ib}A_i^{c+m^{2}A_0^{a},T_2^{a=\partial_{i}\pi^{ia-gf^{abc}\pi^{ib}A_i^{c+m^{2}A_0^{a}
446,ad646e4bb5.png,1,1,100.0,exact,55,55,f_{abc}^{1}+f_{acb}^{1}-f_{bca}^{1}-f_{cba}^{1}=0\quad.,f_{abc}^{1}+f_{acb}^{1}-f_{bca}^{1}-f_{cba}^{1}=0\quad.,f_{abc^{1+f_{acb^{1-f_{bca^{1-f_{cba^{1=0.,f_{abc^{1+f_{acb^{1-f_{bca^{1-f_{cba^{1=0.
447,7e383839af.png,0,1,97.368,canonical_equivalent,76,74,"{\widetilde\Sigma}\sim\sum_{p=0}^{\infty}{\frac{c_{p}}{(\alpha_{\nu})^{p}}},","{\widetilde\Sigma}\sim\sum_{p=0}^{\infty}\frac{c_{p}}{(\alpha_{\nu})^{p}},","\widetilde\Sigma}\sim\sum_{p=0^{\infty}\frac{c_{p}{(\alpha_{\nu)^{p,","\widetilde\Sigma}\sim\sum_{p=0^{\infty}\frac{c_{p}{(\alpha_{\nu)^{p,"
448,3fbd7dff5b.png,1,1,100.0,exact,28,28,G=\frac{1}{(p-eA)^{2}+m^{2}},G=\frac{1}{(p-eA)^{2}+m^{2}},G=\frac{1}{(p-eA)^{2+m^{2},G=\frac{1}{(p-eA)^{2+m^{2}
449,357aa5001b.png,0,0,76.316,semantic_or_token_error,76,64,\mathcal{E}(\mathbf{x})=\int\prod_{i}^{n}dy_{i}\operatorname{exp}(\mathbf{x},{\calE}({\bfx})=\int\prod_{i}^{n}dy_{i}\operatorname{exp}({\bfx},\mathcal{E}(\mathbf{x)=\int\prod_i^{n}dy_{i}\operatorname{exp}(\mathbf{x},{\calE}({\bfx)=\int\prod_i^{n}dy_{i}\operatorname{exp}({\bfx}
450,6b77b99f88.png,0,0,95.0,almost_correct,100,99,"\Delta\lambda=(r^{2}\lambda_{,r})_{,r}+{\frac{1}{sin\theta}}(sin\theta\lambda_{,\theta})_{,\theta}=0","\Delta\lambda=(r^{2}\lambda_{,r})_{,\,r}+\frac{1}{sin\theta}(sin\theta\lambda_{\theta})_{,\theta}=0","\Delta\lambda=(r^{2}\lambda_{,r)_{,r+\frac{1}{sin\theta}(sin\theta\lambda_{,\theta)_{,\theta=0","\Delta\lambda=(r^{2}\lambda_{,r)_{,r+\frac{1}{sin\theta}(sin\theta\lambda_{\theta)_{,\theta=0"
451,22056fb6bd.png,1,1,100.0,exact,71,71,x^{-3}((157)(236)(4)...)\congA_{15}A_{17}\left(A_{23}A_{26}\right)E_{0},x^{-3}((157)(236)(4)...)\congA_{15}A_{17}\left(A_{23}A_{26}\right)E_{0},x^{-3}((157)(236)(4)...)\congA_{15}A_{17}(A_{23}A_{26)E_{0},x^{-3}((157)(236)(4)...)\congA_{15}A_{17}(A_{23}A_{26)E_{0}
452,2fb3ef5a52.png,0,0,69.863,too_short,73,54,"T_{\mathit{G}}(-t,-t^{-1})=\sum_{B\subseteq\mathcal{B}}x^{i(B)}x^{-e(B)},","T_{G}(-t,-t^{-1})=\sum_{B\in{\calB}}x^{i(B)}x^{-e(B)},","T_\mathit{G}(-t,-t^{-1)=\sum_{B\subseteq\mathcal{B}x^{i(B)}x^{-e(B),","T_{G}(-t,-t^{-1)=\sum_{B\in{\calB}x^{i(B)}x^{-e(B),"
453,5e524b9dda.png,1,1,100.0,exact,46,46,\deltaZ_{AB}=\frac{1}{2}\xi_{ABCD}\bar{Z}^{CD},\deltaZ_{AB}=\frac{1}{2}\xi_{ABCD}\bar{Z}^{CD},\deltaZ_{AB=\frac{1}{2}\xi_{ABCD}\barZ^{CD},\deltaZ_{AB=\frac{1}{2}\xi_{ABCD}\barZ^{CD}
454,6c2709552d.png,1,1,100.0,exact,51,51,(\partial_{k_{1}k_{2}}h_{ij})I_{h}^{ij(k_{1}k_{2})},(\partial_{k_{1}k_{2}}h_{ij})I_{h}^{ij(k_{1}k_{2})},(\partial_{k_{1}k_{2}h_{ij)I_h^{ij(k_{1}k_{2)},(\partial_{k_{1}k_{2}h_{ij)I_h^{ij(k_{1}k_{2)}
455,61424600d0.png,1,1,100.0,exact,121,121,"\Phi^{*(E)}=\int_{S}{\bfE}^{*}({\bfr},t)\,d{\bfS}\qquad\mathrm{or}\qquad\Phi^{*(B)}=\int_{S}{\bfB}^{*}({\bfr},t)\,d{\bfS}","\Phi^{*(E)}=\int_{S}{\bfE}^{*}({\bfr},t)\,d{\bfS}\qquad\mathrm{or}\qquad\Phi^{*(B)}=\int_{S}{\bfB}^{*}({\bfr},t)\,d{\bfS}","\Phi^{*(E)=\int_{S}\bfE^{*}({\bfr,t)d{\bfS}\mathrm{or}\Phi^{*(B)=\int_{S}\bfB^{*}({\bfr,t)d{\bfS}","\Phi^{*(E)=\int_{S}\bfE^{*}({\bfr,t)d{\bfS}\mathrm{or}\Phi^{*(B)=\int_{S}\bfB^{*}({\bfr,t)d{\bfS}"
456,29cf45489c.png,0,0,91.176,semantic_or_token_error,133,136,"G_{F}(x,y)=e^{-{\frac{ie^{2}}{2}}\intd^{2}z_{1}\intd^{2}z_{2}j^{\mu}(z_{1};x,y)G_{\mu\nu}(z_{1},z_{2})j^{\nu}(z_{2};x,y)}~S_{F}(x,y),","G_{F}(x,y)=e^{-\frac{i\epsilon^{2}}{2}\intd^{2}z_{1}\intd^{2}z_{2}j^{\mu}(z_{1};x,y)G_{\mu\nu}(z_{1},z_{2})^{\nu}(x_{2};x,y)}S_{F}(x,y),","G_{F}(x,y)=e^{-\frac{ie^{2}{2}\intd^{2}z_{1}\intd^{2}z_{2}j^{\mu}(z_{1};x,y)G_{\mu\nu}(z_{1,z_{2)j^{\nu}(z_{2};x,y)}~S_{F}(x,y),","G_{F}(x,y)=e^{-\frac{i\epsilon^{2}{2}\intd^{2}z_{1}\intd^{2}z_{2}j^{\mu}(z_{1};x,y)G_{\mu\nu}(z_{1,z_{2)^{\nu}(x_{2};x,y)}S_{F}(x,y),"
457,71b207ef43.png,1,1,100.0,exact,29,29,\alpha_{i}\geq\frac{1}{2}D-1.,\alpha_{i}\geq\frac{1}{2}D-1.,\alpha_{i}\geq\frac{1}{2}D-1.,\alpha_{i}\geq\frac{1}{2}D-1.
458,1743e97533.png,0,1,96.721,canonical_equivalent,59,61,D_{M}=\partial_{M}+\frac{1}{4}\omega_{M}{}^{AB}\Gamma_{AB}.,D_{M}=\partial_{M}+{\frac{1}{4}}\omega_{M}{}^{AB}\Gamma_{AB}.,D_{M=\partial_{M+\frac{1}{4}\omega_{M}{^{AB}\Gamma_{AB}.,D_{M=\partial_{M+\frac{1}{4}\omega_{M}{^{AB}\Gamma_{AB}.
459,d171ab09c2.png,0,0,90.598,semantic_or_token_error,117,109,"\frac{z_{k}^{2}+q}{z_{k}^{2}q+1}=q^{Q}\prod_{j=1}^{Q-1}\frac{z_{k}q-z_{j}}{z_{k}-z_{j}q},\hspace{10pt}k=1,\ldots,Q-1,","\frac{z_{k}^{2}+q}{z_{k}^{2}q+1}=q^{Q}\prod_{j=1}^{Q-1}\frac{z_{k}q-z_{j}}{z_{k}-z_{j}q},\quadk=1,\ldots,Q-1,","\frac{z_k^{2+q}{z_k^{2}q+1=q^{Q}\prod_{j=1^{Q-1}\frac{z_{k}q-z_{j}{z_{k-z_{j}q,\hspace{10pt}k=1,\ldots,Q-1,","\frac{z_k^{2+q}{z_k^{2}q+1=q^{Q}\prod_{j=1^{Q-1}\frac{z_{k}q-z_{j}{z_{k-z_{j}q,k=1,\ldots,Q-1,"
460,7c43943488.png,0,0,93.939,semantic_or_token_error,132,129,"{\partial}_{-}E(x)=-\frac{2}{(2{\pi})^{3}}\int\frac{dk_{1}dk_{2}}{k_{\bot}^{2}}\mathrm{exp}[-i(k_{1}x^{1}+k_{2}x^{2})]I(x^{-},x^{+})","\partial_{-}E(x)=-\frac{2}{(2\pi)^{3}}\int\frac{dk_{1}dk_{2}}{k_{\perp}^{2}}\mathrm{exp}[-i(k_{1}x^{1}+k_{2}x^{2})]I(x^{-},x^{+})","\partial_{-}E(x)=-\frac{2}{(2{\pi)^{3}\int\frac{dk_{1}dk_{2}{k_\bot^{2}\mathrm{exp}[-i(k_{1}x^{1+k_{2}x^{2)]I(x^{-,x^{+)","\partial_{-}E(x)=-\frac{2}{(2\pi)^{3}\int\frac{dk_{1}dk_{2}{k_\perp^{2}\mathrm{exp}[-i(k_{1}x^{1+k_{2}x^{2)]I(x^{-,x^{+)"
461,20c2677079.png,1,1,100.0,exact,39,39,\mu\left(m^{ij}\right)=\sum_{n|m^{ij}}n,\mu\left(m^{ij}\right)=\sum_{n|m^{ij}}n,\mu(m^{ij)=\sum_{n|m^{ij}n,\mu(m^{ij)=\sum_{n|m^{ij}n
