formula,image,formula_len_chars,formula_len_tokens_rough,image_width,image_height,aspect_ratio
"( \eta _ { 1 } , \eta _ { 2 } , \eta _ { 3 } , \eta _ { 4 } ) \sim \left\{ \begin{array} { c c } { ( + , + , + , + ) , } & { \qquad ( \mathrm { a } ) } \\ { ( - , + , + , + ) , } & { \qquad ( \mathrm { b } ) } \\ { ( + , - , + , + ) , } & { \qquad ( \mathrm { c } ) } \\ { ( + , + , - , + ) , } & { \qquad ( \mathrm { d } ) } \\ { ( + , - , + , - ) . } & { \qquad ( \mathrm { e } ) } \\ \end{array} \right.",19cd6cd695.png,406,149,480,128,3.75
"I _ { 4 } \equiv \operatorname* { d e t } \left[ \left( \begin{array} { c } { \vec { \tilde { q } } } \\ { \vec { \tilde { p } } } \\ \end{array} \right) \left( \begin{array} { c c } { \vec { \tilde { q } } \ \ \ } \\ { v e c { \tilde { p } } } \\ \end{array} \right) \right] = \left( \vec { \tilde { q } } \cdot \vec { \tilde { q } } \right) ^ { 2 } \left( \vec { \tilde { p } } \cdot \vec { \tilde { p } } \right) ^ { 2 } - \left( \vec { \tilde { q } } \cdot \vec { \tilde { p } } \right) ^ { 2 } \, ,",4180f94aef.png,503,141,480,128,3.75
R _ { \alpha \beta } ^ { \gamma \delta } = ( \delta _ { \alpha } ^ { \gamma } - \delta _ { \alpha } ^ { 1 } \delta _ { 3 } ^ { \gamma } h _ { 3 } ^ { 1 } - \delta _ { \alpha } ^ { 2 } \delta _ { 4 } ^ { \gamma } h _ { 3 } ^ { 1 } ) ( \delta _ { \beta } ^ { \delta } + \delta _ { \beta } ^ { 1 } \delta _ { 2 } ^ { \delta } g _ { 3 } + \delta _ { \beta } ^ { 3 } \delta _ { 4 } ^ { \delta } g _ { 3 } ),7b96efb7c2.png,401,138,384,32,12.0
\begin{array} { c c c c } { \hline \mathrm { o r d e r } } & { N _ { c } = 2 } & { N _ { c } = 3 } & { N _ { c } \longrightarrow \infty } \\ { \hline \epsilon } & { 0 . 5 3 9 } & { 0 . 5 0 5 } & { 0 . 4 8 0 } \\ { \hline \epsilon ^ { 2 } } & { 0 . 6 2 0 } & { 0 . 6 0 1 } & { 0 . 5 8 5 } \\ { \hline \epsilon ^ { 3 } } & { 1 . 0 3 } & { 0 . 9 3 3 } & { 0 . 8 8 0 } \\ { \hline } \\ \end{array},4fef9efc2a.png,393,148,384,96,4.0
\left\{ { \frac { \partial ^ { 2 } } { \partial r ^ { 2 } } } + { \frac { 5 } { r } } { \frac { \partial } { \partial r } } + \tilde { \omega } ^ { 2 } \left( 1 + { \frac { \tilde { R } _ { \frac { \pi } { 2 } } ^ { 4 } } { r ^ { 4 } } } \right) - { \frac { 2 \tilde { R } _ { \frac { \pi } { 2 } } ^ { 8 } } { r ^ { 1 0 } \tilde { f } ^ { 2 } } } \right\} \hat { \phi } \simeq 0,2c2a3438c3.png,379,130,384,64,6.0
"1 \; = \; { \frac { \int d A \operatorname { e x p } \left\{ - N \beta \, \mathrm { T r } \, \left[ \left( A - \sum _ { i = 1 } ^ { d } U _ { i } \right) \left( A ^ { \dagger } - \sum _ { i = 1 } ^ { d } U _ { i } ^ { \dagger } \right) \right] \right\} } { \int d A \operatorname { e x p } \left\{ - N \beta \, \mathrm { T r } \, \left[ A A ^ { \dagger } \right] \right\} } } \; .",10599c2dc8.png,380,113,480,64,7.5
"\left( \begin{array} { l } { F ^ { ( \pm ) \Lambda } } \\ { G _ { \Sigma } ^ { ( \pm ) } } \\ \end{array} \right) \, \rightarrow \, \left( \begin{array} { l } { F ^ { ( \pm ) \prime \Lambda } } \\ { G _ { \Sigma } ^ { ( \pm ) \prime } } \\ \end{array} \right) \, = \, \left( \begin{array} { l l } { A _ { t } } & { B _ { t } } \\ { C _ { t } } & { D _ { t } } \\ \end{array} \right) \left( \begin{array} { l } { F ^ { ( \pm ) \Lambda } } \\ { G _ { \Sigma } ^ { ( \pm ) } } \\ \end{array} \right)",3d1d6e0a5f.png,496,144,384,64,6.0
\left( \begin{array} { c } { \phi } \\ { \psi } \\ \end{array} \right) ( \theta ) | \frac { 1 } { 2 } \rangle = \left( \begin{array} { l l } { \mathcal { A } _ { + } } & { \mathcal { B } } \\ { \tilde { \mathcal { B } } } & { \mathcal { A } _ { - } } \\ \end{array} \right) \left( \begin{array} { c } { \phi } \\ { \psi } \\ \end{array} \right) ( - \theta ) | \frac { 1 } { 2 } \rangle,2caa4181d6.png,385,103,384,64,6.0
0 = \int d ^ { 5 } x \left( i e \frac { \delta \Gamma } { \delta \Phi _ { c } ^ { * } } \Phi _ { c } ^ { * } w _ { c } - i e \frac { \delta \Gamma } { \delta \Phi _ { c } } w _ { c } \Phi _ { c } + D _ { \alpha } \frac { \delta \Gamma } { \delta \Gamma _ { \alpha } ^ { c } } w _ { c } + \frac { 1 } { \xi } \frac { \delta \Gamma } { \delta u _ { c } } D ^ { \alpha } \Gamma _ { \alpha } ^ { c } \right) .,72be2e4d4a.png,405,134,480,64,7.5
"\left[ X ^ { \mu } , X ^ { \nu } \right] = \operatorname* { l i m } _ { \epsilon \rightarrow 0 } 2 \alpha ^ { \prime } \left( \frac { - 2 \pi \alpha ^ { \prime } F } { 1 - ( 2 \pi \alpha ^ { \prime } F ) ^ { 2 } } \right) ^ { \mu \nu } \sum _ { m = 1 } ^ { \infty } \frac { ( \rho \rho ^ { \prime } ) ^ { m } + ( \rho / \rho ^ { \prime } ) ^ { m } } { m } \operatorname { s i n } m \epsilon .",693d807c6d.png,392,121,480,64,7.5
"{ \cal B } _ { \Sigma } \, \, = \, \, \displaystyle { \int } { d } ^ { 3 } x \, \displaystyle { \, s u m _ { \Phi = A _ { \mu } ^ { a } , \, c ^ { a } , \, \Psi _ { _ A } , \, \varphi _ { i } } ^ { } } \left( { \displaystyle { \ \frac { \delta \Sigma } { \delta \Phi ^ { * } } } } { \displaystyle { \frac { \delta } { \delta \Phi } } } + { \displaystyle { \frac { \delta \Sigma } { \delta \Phi } } } { \displaystyle { \ \frac { \delta } { \delta \Phi ^ { * } } } } \right) \, + b \, .",452ee776bb.png,484,144,480,64,7.5
"\begin{array} { c } { 2 \, \Im m \, \displaystyle \int \displaystyle \frac { d x } { i } \varphi ^ { \prime } ( x + i \epsilon ) \operatorname { l o g } ( 1 + f ( x + i \epsilon ) ) = } \\ { = - 2 \, \Re e \, \displaystyle \int _ { \Gamma } \displaystyle \frac { d u } { u } \operatorname { l o g } ( 1 + u ) - \displaystyle \frac { 1 } { 2 } \displaystyle \int d x \, G ( x ) \left( F ^ { 2 } ( + \infty ) - F ^ { 2 } ( - \infty ) \right) } \\ \end{array}",65d29f192d.png,456,128,480,128,3.75
Z _ { K } ( \lambda ) = { \operatorname* { d e t } } ^ { \prime } ( ( \phi _ { 0 } ^ { K } ) ^ { * } \phi _ { 0 } ^ { K } ) ^ { - \frac { 1 } { 2 } } { \operatorname* { d e t } } ^ { \prime } ( ( d _ { 0 } ^ { K } ) ^ { * } d _ { 0 } ^ { K } ) ^ { \frac { 1 } { 2 } } { \operatorname* { d e t } } ^ { \prime } ( - \frac { i \lambda } { \pi } T _ { K } ) ^ { - \frac { 1 } { 2 } } .,595f536cb8.png,381,146,480,64,7.5
"\left( \begin{array} { c c } { A _ { 1 2 } } & { A _ { 2 2 } } \\ { - A _ { 1 1 } } & { - A _ { 1 2 } } \\ \end{array} \right) = \left( \begin{array} { c c } { \partial _ { \tau } a } & { \partial _ { \tau } b } \\ { \partial _ { \tau } c } & { \partial _ { \tau } d } \\ \end{array} \right) \left( \begin{array} { c c } { a } & { b } \\ { c } & { d } \\ \end{array} \right) ^ { - 1 } ,",779d205773.png,386,121,384,64,6.0
"\begin{array} { l c r } { R e g i o n \, I \qquad } & { \psi ^ { b } = s \left( \begin{array} { c } { E + m } \\ { - \kappa } \\ \end{array} \right) e ^ { \kappa x } } & { \qquad x \leq - \xi } \\ { R e g i o n \, I I I \qquad } & { \psi ^ { b } = s ^ { \prime } \left( \begin{array} { c } { E + m } \\ { \kappa } \\ \end{array} \right) e ^ { - \kappa x } } & { \qquad x \geq \xi } \\ \end{array}",4885b23845.png,396,120,480,128,3.75
\left( \begin{array} { l } { \theta ^ { 1 } } \\ { \theta ^ { 2 } } \\ \end{array} \right) \rightarrow \left( \begin{array} { l l } { \operatorname { c o s } \frac { \alpha } { 2 } } & { - \operatorname { s i n } \frac { \alpha } { 2 } } \\ { \operatorname { s i n } \frac { \alpha } { 2 } } & { \operatorname { c o s } \frac { \alpha } { 2 } } \\ \end{array} \right) \left( \begin{array} { l } { \theta ^ { 1 } } \\ { \theta ^ { 2 } } \\ \end{array} \right) .,4325b845ca.png,460,121,320,64,5.0
r ^ { S } = \left( \begin{array} { c c c c } { r _ { + } ^ { S } } & { 0 } & { 0 } & { 0 } \\ { 0 } & { r _ { + } ^ { S } } & { 0 } & { 0 } \\ { 0 } & { 0 } & { 1 } & { 0 } \\ { 0 } & { 0 } & { 0 } & { r _ { \chi } ^ { S } } \\ \end{array} \right) \qquad r ^ { \delta _ { i } } = \left( \begin{array} { c c } { 1 } & { 0 } \\ { 0 } & { r _ { \delta _ { i } } } \\ \end{array} \right),79efb126c0.png,383,147,384,96,4.0
"\begin{array} { c } { A _ { \mu } = \left( \frac 1 2 \left( l _ { \mu } ^ { 1 } + l _ { \mu } ^ { 2 } \right) , \frac 1 2 \left( l _ { \mu } ^ { 1 } + l _ { \mu } ^ { 2 } \right) \right) , } \\ { B _ { \mu } = \left( \frac 1 2 \left( l _ { \mu } ^ { 1 } - l _ { \mu } ^ { 2 } \right) , - \frac 1 2 \left( l _ { \mu } ^ { 1 } - l _ { \mu } ^ { 2 } \right) \right) , } \\ \end{array}",3a95dd4090.png,381,128,256,64,4.0
"\left\{ \begin{array} { l } { { \psi } ^ { \pm j } ( \sigma , \tau ) = \sqrt { \alpha ^ { \prime } } \sum _ { r \in Z + 1 / 2 } { b _ { r } } ^ { \pm j } \operatorname { e x p } [ - i r ( \tau + \sigma ) ] } \\ { { \tilde { \psi } } ^ { \pm j } ( \sigma , \tau ) = - \sqrt { \alpha ^ { \prime } } \sum _ { r \in Z + 1 / 2 } { b _ { r } } ^ { \pm j } \operatorname { e x p } [ - i r ( \tau - \sigma ) ] \; , } \\ \end{array} \right.",61041504b6.png,431,141,384,64,6.0
"\hat { \cal M } = e ^ { \hat { \varphi } } \left( \begin{array} { c c } { | \hat { \lambda } | ^ { 2 } } & { \hat { C } ^ { ( 0 ) } } \\ { \hat { C } ^ { ( 0 ) } } & { 1 } \\ \end{array} \right) \, , \hspace { 1 c m } \hat { \cal M } ^ { - 1 } = e ^ { \hat { \varphi } } \left( \begin{array} { c c } { 1 } & { - \hat { C } ^ { ( 0 ) } } \\ { - \hat { C } ^ { ( 0 ) } } & { | \hat { \lambda } | ^ { 2 } } \\ \end{array} \right) \, ,",5e04433ce4.png,431,147,480,128,3.75
"[ \hat { p } _ { \alpha } + \beta _ { \alpha \beta } \hat { \epsilon } ^ { \beta } , \hat { p } _ { \alpha ^ { \prime } } + \beta _ { \alpha ^ { \prime } \beta ^ { \prime } } \hat { \epsilon } ^ { \beta ^ { \prime } } ] = i ( \beta _ { \alpha \alpha ^ { \prime } } + \beta _ { \beta \alpha ^ { \prime } } \partial _ { \alpha } \epsilon ^ { \beta } + \beta _ { \alpha \beta } \partial _ { \alpha ^ { \prime } } \epsilon ^ { \beta } ) .",1fc6ed55e6.png,434,122,480,32,15.0
\mathrm { E } _ { 0 } = \langle \mathrm { g r o u n d } ; \mathrm { e x } | \hat { \mathrm { H } } _ { \mathrm { p h y s } } | \mathrm { g r o u n d } ; \mathrm { e x } \rangle = { \hbar } ^ { 2 } \frac { q ^ { 2 } } { q ^ { 2 } } { L } \sum _ { p > 0 } \frac { 1 } { \mathrm { E } _ { p } ^ { 2 } ( \mathrm { N } ) } j _ { p } ^ { \mathrm { e x } } ( j _ { p } ^ { \mathrm { e x } } ) ^ { \star } .,340df307c9.png,399,150,480,64,7.5
"= \; \Bigg | { \; \atop { \mathrm { d e t } \atop { \scriptstyle i , j = 1 , . . . , 2 n _ { a } } } } \Bigg ( \frac { 1 } { w _ { i } ^ { ( a ) } - z _ { j } ^ { ( a ) } } \Bigg ) \Bigg | \; \times \; \Bigg | { \; \atop { \mathrm { d e t } \atop { \scriptstyle i , j = 1 , . . . , 2 n _ { b } } } } \Bigg ( \frac { 1 } { w _ { i } ^ { ( b ) } - z _ { j } ^ { ( b ) } } \Bigg ) \Bigg |",29f998f8a5.png,385,143,480,64,7.5
"\langle \Psi _ { 1 } ( x _ { 1 } ) \cdots \Psi _ { n } ( x _ { n } ) \rangle = \displaystyle { \frac { F ( \hat { X } _ { 1 ( i ) } { \cdot \hat { X } _ { 1 ( j ) } } ) } { \displaystyle { \prod _ { l < m } ( x _ { l m } ^ { 2 } ) ^ { - \frac { 1 } { ( n - 1 ) ( n - 2 ) } ( \eta _ { 1 } + \cdots + \eta _ { n } ) + \frac { 1 } { n - 2 } ( \eta _ { l } + \eta _ { m } ) } } } } \, ,",10d7efc6ee.png,382,146,480,128,3.75
"\left( \begin{array} { c c } { \partial _ { 1 } } & { \partial _ { 2 } } \\ { \partial _ { 4 } } & { \partial _ { 3 } } \\ \end{array} \right) \mapsto \left( \begin{array} { c c } { \partial _ { 1 } q ^ { \alpha L _ { 6 } } } & { \partial _ { 2 } } \\ { \partial _ { 4 } } & { \partial _ { 3 } q ^ { - \alpha L _ { 6 } } } \\ \end{array} \right) \equiv \tilde { \partial } \quad ,",182c426b71.png,380,109,320,64,5.0
4 \left( \begin{array} { c } { { \bf E } ^ { \prime } } \\ { { \bf B } ^ { \prime } } \\ \end{array} \right) = R \left( \begin{array} { c } { { \bf E } } \\ { { \bf B } } \\ \end{array} \right) \equiv \left( \begin{array} { l l } { \operatorname { c o s } \theta } & { \operatorname { s i n } \theta } \\ { - \operatorname { s i n } \theta } & { \operatorname { c o s } \theta } \\ \end{array} \right) \left( \begin{array} { c } { { \bf E } } \\ { { \bf B } } \\ \end{array} \right),6465b956cf.png,482,124,384,64,6.0
\frac { d \phi ^ { 2 } } { d \phi ^ { 1 } } = - \frac { \partial W ^ { 1 } } { \partial \phi ^ { 1 } } \left( \frac { \partial W ^ { 1 } } { \partial \phi ^ { 2 } } \right) ^ { - 1 } \hspace { 0 . 5 c m } \equiv \hspace { 0 . 5 c m } \frac { \partial W ^ { 1 } } { \partial \phi ^ { 1 } } d \phi ^ { 1 } + \frac { \partial W ^ { 1 } } { \partial \phi ^ { 2 } } d \phi ^ { 2 } = d W ^ { 1 } = 0,1e533e0632.png,393,133,480,64,7.5
"\langle \bar { P } ^ { n } \cdots \rangle = { \frac { \partial ^ { n } } { \partial \bar { t } ^ { n } } } \, \langle \cdots \rangle = \left( { \frac { \partial t _ { s } } { \partial \bar { t } } } \, { \frac { \partial } { \partial t _ { s } } } \right) ^ { n } = \left( - { \frac { 1 } { \langle P P \rangle _ { 0 } } } \, { \frac { \partial } { \partial t _ { s } } } \right) ^ { n } \ \langle \cdots \rangle \ ,",5c1a207889.png,416,122,480,64,7.5
"\Delta _ { \varepsilon , \pm 1 , \overline { { \varepsilon } } } = \frac { \sigma ^ { 2 } } 2 \cdot \frac { m - i \varepsilon \widehat { p } } { 2 m } \cdot \frac { m - i \overline { { \varepsilon } } \overline { { p } } } { 2 m } \cdot \frac 1 2 \sigma _ { p } \left( \sigma _ { p } \pm 1 \right) = \Psi _ { \varepsilon , \pm 1 , \overline { { \varepsilon } } } \cdot \overline { { \Psi } } _ { \varepsilon , \pm 1 , \overline { { \varepsilon } } } ,",8af6b672e9.png,451,120,480,64,7.5
"I _ { 1 } = \int _ { 0 } ^ { + \infty } d t _ { 1 } \, d t _ { 2 } \, \operatorname { e x p } \Bigl [ - \frac { t _ { 1 } ^ { 2 } } { 2 \alpha } - \frac { t _ { 2 } ^ { 2 } } { 2 \alpha } - \frac { t _ { 1 } t _ { 2 } } { 2 \alpha } \Bigr ] \operatorname { s i n } ( t _ { 1 } \frac { \alpha _ { 1 } } { \alpha } ) \operatorname { s i n } ( t _ { 2 } \frac { \alpha _ { 1 } } { \alpha } ) .",766f9d96e4.png,390,141,480,64,7.5
"\left. + 2 \zeta \int d ^ { 4 } x \left[ \operatorname { c o s } \left( \frac { \left| \lambda _ { \mu \nu } ^ { 1 } ( x ) \right| } { \Lambda ^ { 2 } } \right) + \operatorname { c o s } \left( \frac { \left| \lambda _ { \mu \nu } ^ { 2 } ( x ) \right| } { \Lambda ^ { 2 } } \right) \right] - i \int d ^ { 4 } x h _ { \mu \nu } ^ { a } { \cal S } _ { \mu \nu } ^ { a } \right\} ,",1bdd9ed0b1.png,379,114,480,64,7.5
"Z _ { \scriptscriptstyle M C S } ( J ) = e ^ { i \alpha - \frac { i \pi } { 4 } \eta ( 0 , \hspace { 3 p t } \ast d _ { \scriptscriptstyle 1 } ) } \tau _ { \scriptscriptstyle R S } ( M ) ^ { \scriptscriptstyle 1 / 2 } e ^ { i \langle J , \hspace { 3 p t } \frac { 1 } { \ast d _ { \scriptscriptstyle 1 } } \hspace { 4 p t } J \rangle } Z _ { \scriptscriptstyle S D } ( \hat { J } )",5b1e67e4cc.png,381,110,384,32,12.0
"\left( \frac { C ^ { 2 } \, e ^ { 2 \, \alpha } \, n ^ { 4 } } { \left( \left( x _ { 0 } + y _ { 0 } + i \, \epsilon \right) ^ { 2 } - \left( x _ { s } + y _ { s } \right) ^ { 2 } \right) ^ { 2 } } + \frac { C ^ { 2 } \, e ^ { 2 \, \alpha ^ { * } } \, n ^ { 4 } } { \left( \left( x _ { 0 } + y _ { 0 } - i \, \epsilon \right) ^ { 2 } - \left( x _ { s } + y _ { s } \right) ^ { 2 } \right) ^ { 2 } } \right.",23a8c856bf.png,406,145,480,128,3.75
"V ^ { \alpha \dot { \alpha } } = \left( \begin{array} { l l } { V ^ { 1 \dot { 1 } } } & { V ^ { 1 \dot { 2 } } } \\ { V ^ { 2 \dot { 1 } } } & { V ^ { 2 \dot { 2 } } } \\ \end{array} \right) = { \frac { 1 } { \sqrt 2 } } \, \left( \begin{array} { l l } { V ^ { 1 } + V ^ { 4 } } & { V ^ { 2 } - V ^ { 3 } } \\ { V ^ { 2 } + V ^ { 3 } } & { - V ^ { 1 } + V ^ { 4 } } \\ \end{array} \right) \ ,",1968d725a7.png,393,145,480,64,7.5
= \frac { \hbar } { 8 \pi ^ { 2 } } \alpha ^ { 4 } \phi _ { c } ^ { 4 } \sum _ { N = 1 } ^ { m } \frac { K _ { 2 } \left( 2 N \alpha a \phi _ { c } \right) } { \left( N \alpha a \phi _ { c } \right) ^ { 2 } } + \frac { \hbar } { 8 \pi ^ { 2 } } \alpha ^ { 4 } \phi _ { c } ^ { 4 } \sum _ { N = m + 1 } ^ { \infty } \frac { K _ { 2 } \left( 2 N \alpha a \phi _ { c } \right) } { \left( N \alpha a \phi _ { c } \right) ^ { 2 } } .,6535a7a82d.png,428,149,480,64,7.5
"T ^ { F } ( z ) = { \frac { 2 \sum _ { i , j = 1 } ^ { h } \omega _ { i } ^ { \prime \prime } A _ { i j } \overline { \omega } _ { j } - 3 \left( \sum _ { i , j = 1 } ^ { h } \omega _ { i } ^ { \prime } A _ { i j } \overline { \omega } _ { j } \right) ^ { 2 } } { 2 \left( \sum _ { i , j = 1 } ^ { h } \omega _ { i } A _ { i j } \overline { \omega } _ { j } \right) ^ { 2 } } } .",1f41d49938.png,379,138,384,96,4.0
"\Delta = 1 + \frac { l _ { 1 } ^ { 2 } } { r ^ { 2 } } \operatorname { c o s } ^ { 2 } \theta + \frac { l _ { 2 } ^ { 2 } } { r ^ { 2 } } ( \operatorname { s i n } ^ { 2 } \theta + \operatorname { c o s } ^ { 2 } \theta \operatorname { c o s } ^ { 2 } \psi ) + \frac { l _ { 1 } ^ { 2 } l _ { 2 } ^ { 2 } } { r ^ { 4 } } \operatorname { c o s } ^ { 2 } \theta \operatorname { c o s } ^ { 2 } \psi \ ,",602d9a5c70.png,400,143,480,64,7.5
"\begin{array} { c } { D 7 } \\ { ( 7 , 0 , 2 ) } \\ \end{array} \, \, \, \left\{ \begin{array} { r c l } { d \hat { s } _ { I I B } ^ { 2 } } & { = } & { H ^ { - 1 / 2 } \left( \eta _ { i j } d y ^ { i } d y ^ { j } - d y ^ { 2 } \right) - H ^ { 1 / 2 } d \omega d \overline { { \omega } } \, , } \\ { \hat { \lambda } } & { = } & { - \frac { h } { i } \operatorname { l o g } { \overline { { \omega } } } \, , } \\ \end{array} \right.",1e85c66018.png,435,149,480,128,3.75
"g ( \underline { { x } } ) = \bigl ( \prod _ { s = 1 } ^ { l } \frac { \partial } { \partial y _ { j _ { s } } ^ { 0 } } \bigr ) ^ { K } \sum _ { | \underline { { m } } | \leq K - 1 , m _ { j _ { 1 } } ^ { 0 } = . . . = m _ { j _ { l } } ^ { 0 } = 0 } ( \frac { \partial } { \partial \underline { { y } } } ) ^ { \underline { { m } } } \nu _ { \underline { { m } } } ( \underline { { y } } ) ,",732250374c.png,393,142,384,64,6.0
"A _ { M } = \left( \begin{array} { c } { a } \\ { \psi } \\ \end{array} \right) , \; \; \; \; \; A _ { M } ^ { \dagger } = \left( \begin{array} { c } { a ^ { \dagger } } \\ { \psi ^ { \dagger } } \\ \end{array} \right) , \; \; \tilde { A } _ { M } = \left( \begin{array} { c } { \tilde { a } } \\ { \tilde { \psi } } \\ \end{array} \right) , \; \; \; \; \; \tilde { A } _ { M } ^ { \dagger } = \left( \begin{array} { c } { \tilde { a } ^ { \dagger } } \\ { \tilde { \psi } ^ { \dagger } } \\ \end{array} \right)",283d5ab347.png,511,141,480,64,7.5
"\times \, \frac { \omega } { 2 i \pi \hbar \operatorname { s i n } \omega \Delta t } \, e ^ { - i \frac { \pi } { 2 } | \ell | } \, e ^ { \frac { i \omega } { 2 \hbar } \frac { \operatorname { c o s } \omega \Delta t } { \operatorname { s i n } \omega \Delta t } ( r _ { f } ^ { 2 } + r _ { i } ^ { 2 } ) } \, J _ { | \ell | } \left( \frac { \omega r _ { f } \, r _ { i } } { \hbar \operatorname { s i n } \omega \Delta t } \right) \ \ \ .",3fdcdde7a9.png,439,137,480,64,7.5
"\frac { \partial } { \partial \theta } \begin{array} { c } { l i m } \\ { \varepsilon \rightarrow 0 } \\ \end{array} I ( p , m , \theta , \varepsilon ) \mid _ { _ { \theta _ { 0 } ^ { - } } } \neq \frac { \partial } { \partial \theta } \begin{array} { c } { l i m } \\ { \varepsilon \rightarrow 0 } \\ \end{array} I ( p , m , \theta , \varepsilon ) \mid _ { _ { _ { \theta _ { 0 } ^ { + } } } }",4b885df8a7.png,394,106,480,64,7.5
\mathcal { L } _ { I } ^ { l i n } = - \frac { i } { 4 } \left( h ^ { a \mu } \bar { \psi } \gamma _ { a } \frac { 1 \pm \gamma _ { 5 } } { 2 } \stackrel { \leftrightarrow } { \partial _ { \mu } ^ { \psi } } \psi + h _ { \ \mu } ^ { \mu } \bar { \psi } \gamma ^ { a } \frac { 1 \pm \gamma _ { 5 } } { 2 } \stackrel { \leftrightarrow } { \partial _ { a } ^ { \psi } } \psi \right),a321c24d6e.png,379,118,480,64,7.5
"| { \cal O } \rangle = \left\{ \begin{array} { l } { \sum _ { s ^ { \prime } } \oplus | { \cal O } _ { s ^ { \prime } } ^ { ( 1 ) } \rangle \qquad s ^ { \prime } = s , s - 2 , s - 4 , \ldots , s - 2 [ \frac { s } { 2 } ] \, , } \\ { \sum _ { s ^ { \prime } } \oplus | { \cal O } _ { s ^ { \prime } } ^ { ( 2 ) } \rangle \qquad s ^ { \prime } = s - 1 , s - 3 , s - 5 , \ldots , s - 2 [ \frac { s - 1 } { 2 } ] \, . } \\ \end{array} \right.",69accbab95.png,438,150,480,128,3.75
"\left[ \begin{array} { c } { { } } \\ { { \sum \sum } } \\ { { } _ { j < l } } \\ \end{array} \alpha _ { j } \alpha _ { l } k _ { j l } ^ { 2 } - \sum \alpha _ { i } m _ { i } ^ { 2 } \right] \Rightarrow - \left[ \sum \alpha _ { i } ^ { 2 } m _ { i } ^ { 2 } \! + \! 2 \! \begin{array} { c } { { } } \\ { { \sum \sum } } \\ { { } _ { j < l } } \\ \end{array} \alpha _ { j } \alpha _ { l } m _ { j } m _ { l } c _ { j l } \right] ,",13e0db24bb.png,430,149,480,64,7.5
"G _ { 1 } ^ { ( m , k ) } = \Phi ( \vec { x } _ { r } , \vec { x } _ { s } ) \left( \frac { 1 } { \mathcal { S } _ { + } } - \frac { 1 } { \mathcal { S } _ { - } } \right) = \Phi ( \vec { x } _ { r } , \vec { x } _ { s } ) \left( \frac { \operatorname { s i n h } \mathcal { U } } { \operatorname { c o s h } \mathcal { U } - \operatorname { c o s } \mathcal { T } } \right) \; .",1b8a029400.png,379,128,480,64,7.5
\begin{array} { l l l } { \delta e ^ { a } = \frac { 1 } { 8 } \bar { \epsilon } { \bf \Gamma } ^ { a } \psi } & { \hspace { 1 c m } } & { \delta \omega ^ { a b } = - \frac { 1 } { 8 } \bar { \epsilon } { \bf \Gamma } ^ { a b } \psi } \\ { \delta \psi = D \epsilon } & { \hspace { 1 c m } } & { \delta A ^ { a b c d e } = \frac { 1 } { 8 } \bar { \epsilon } { \bf \Gamma } ^ { a b c d e } \psi . } \\ \end{array},6f70551d8b.png,412,135,384,96,4.0
\langle { \cal T } ( a _ { 1 } ) { \cal T } ( a _ { 2 } ) \rangle = ( - 1 ) ^ { 2 } { \frac { \delta ^ { 2 } \Gamma _ { S C } } { \delta \hat { \mu } ( a _ { 1 } ) \delta \hat { \mu } ( a _ { 2 } ) } } \bigg \vert _ { \hat { \mu } = 0 } = \kappa \partial _ { 1 } ^ { 2 } D _ { 1 } \left( { \frac { \theta _ { 1 } - \theta _ { 2 } } { z _ { 1 } - z _ { 2 } - \theta _ { 1 } \theta _ { 2 } } } \right),5cd51201c2.png,399,144,480,64,7.5
"= \frac { \beta } { 2 \pi } ( k ^ { \mu } k ^ { \nu } - k ^ { 2 } g ^ { \mu \nu } ) \left[ \frac { 1 } { \sqrt { k ^ { 2 } } } \left( 1 + \frac { 4 m ^ { 2 } } { k ^ { 2 } } \right) \operatorname { l o g } \left( \frac { 1 - \sqrt { \frac { 4 m ^ { 2 } } { k ^ { 2 } } } } { 1 + \sqrt { \frac { 4 m ^ { 2 } } { k ^ { 2 } } } } \right) + \frac { 4 m } { k ^ { 2 } } \right] \, \, ,",5f1383cb6b.png,380,140,480,64,7.5
\left( \partial ^ { \gamma } \partial _ { \alpha } T ^ { ( \alpha \nu ) \beta } - \partial ^ { \beta } \partial _ { \alpha } T ^ { ( \alpha \nu ) \gamma } \right) = - \frac { D ^ { 2 } } { a e ^ { 2 } } \partial ^ { 2 } T ^ { ( \beta \gamma ) \nu } + \frac { D } { 2 e ^ { 2 } } \partial ^ { 2 } \epsilon ^ { \beta \gamma } { } _ { \kappa \lambda } T ^ { ( \kappa \lambda ) \nu } .,3bcbcbe013.png,381,114,480,64,7.5
"{ \bf R } _ { + } \times { \cal E } _ { L } \ni ( \alpha , \widetilde { x } ) { \left\{ \begin{array} { l l } { ( 9 0 , 0 ) ( 0 , 0 ) \put ( 5 , 3 ) { \vector ( 1 , 0 ) { 8 0 } } \put ( 1 5 , 1 0 ) { \scriptstyle ( \lambda , \gamma ) \in { \bf R } _ { + } \times { \cal D } _ { L } } } \\ \end{array} \right. } ( \lambda [ \widetilde { \varphi } ] \alpha , \widetilde { x } \circ \gamma [ \widetilde { \varphi } ] ) \in \mathrm { ~ \boldmath ~ R } _ { + } \times { \cal E } _ { L } \; \; \; ,",5dbc4584bf.png,492,150,480,64,7.5
